,id,source,console
0,0,来自江苏,买了十盒 孩子很喜欢吃
1,1,来自福建,正常都是三秒的，能延到五秒吗？
2,2,来自陕西,选手在伦敦也用杜杜
3,3,来自云南,我想买，但是没人跟我用
4,4,来自安徽,我是学生，送
5,5,来自上海,老公每天沉迷于看比赛，没机会用，谢谢
6,6,来自山东,周边
7,7,来自上海,越战越持久吗
8,8,来自广东,送周边我就买
9,9,来自中国,这个抱枕我喜
10,10,来自广东,抽一套周边啊杜
11,11,来自四川,我爱你
12,12,,恭喜您满足官方扶持要求，快加入【微博电商号】吧！官方投入百亿流量扶持种草官们，【戳链接加入】：
13,13,来自安徽,@ 左手 在伦敦也要记得用哦[單身狗
14,14,来自河南,负责上门安装吗？
15,15,来自河南,杜蕾斯我用不到 但是为京东加油我就给你点赞
16,16,来自湖北,找不到人一起
17,17,来自重庆,保护谁
